Gear Assembly,GA Category,Month,Quarter,Fiscal Year,Quantity Produced,Sales Quantity,Price
Gear Assembly 1 (BS4),BS4 Only,April,Q1,2019-20,6393,5655,561
Gear Assembly 1 (BS4),BS4 Only,May,Q1,2019-20,5840,5071,540
Gear Assembly 1 (BS4),BS4 Only,June,Q1,2019-20,6555,6066,432
Gear Assembly 1 (BS4),BS4 Only,July,Q2,2019-20,5568,5056,452
Gear Assembly 1 (BS4),BS4 Only,August,Q2,2019-20,6555,6268,544
Gear Assembly 1 (BS4),BS4 Only,September,Q2,2019-20,5167,4986,453
Gear Assembly 1 (BS4),BS4 Only,October,Q3,2019-20,5675,5271,408
Gear Assembly 1 (BS4),BS4 Only,November,Q3,2019-20,5819,5675,494
Gear Assembly 1 (BS4),BS4 Only,December,Q3,2019-20,6043,5539,385
Gear Assembly 1 (BS4),BS4 Only,January,Q4,2019-20,6512,5926,388
Gear Assembly 1 (BS4),BS4 Only,February,Q4,2019-20,6747,5629,494
Gear Assembly 1 (BS4),BS4 Only,March,Q4,2019-20,6749,6165,371
Gear Assembly 1 (BS4),BS4 Only,April,Q1,2020-21,5326,5045,551
Gear Assembly 1 (BS4),BS4 Only,May,Q1,2020-21,6030,5212,456
Gear Assembly 1 (BS4),BS4 Only,June,Q1,2020-21,5439,4904,459
Gear Assembly 1 (BS4),BS4 Only,July,Q2,2020-21,6153,5599,525
Gear Assembly 1 (BS4),BS4 Only,August,Q2,2020-21,6626,5966,364
Gear Assembly 1 (BS4),BS4 Only,September,Q2,2020-21,6118,5849,503
Gear Assembly 1 (BS4),BS4 Only,October,Q3,2020-21,6425,5970,566
Gear Assembly 1 (BS4),BS4 Only,November,Q3,2020-21,5220,4851,360
Gear Assembly 1 (BS4),BS4 Only,December,Q3,2020-21,5578,5440,435
Gear Assembly 1 (BS4),BS4 Only,January,Q4,2020-21,5678,5373,393
Gear Assembly 1 (BS4),BS4 Only,February,Q4,2020-21,5743,5601,551
Gear Assembly 1 (BS4),BS4 Only,March,Q4,2020-21,5892,5217,411
Gear Assembly 1 (BS4),BS4 Only,April,Q1,2021-22,5416,4872,456
Gear Assembly 1 (BS4),BS4 Only,May,Q1,2021-22,5589,5090,389
Gear Assembly 1 (BS4),BS4 Only,June,Q1,2021-22,5651,5503,561
Gear Assembly 1 (BS4),BS4 Only,July,Q2,2021-22,6668,5948,383
Gear Assembly 1 (BS4),BS4 Only,August,Q2,2021-22,5889,5527,448
Gear Assembly 2 (BS4),BS4 Only,April,Q1,2019-20,6181,5730,570
Gear Assembly 2 (BS4),BS4 Only,May,Q1,2019-20,5919,5818,416
Gear Assembly 2 (BS4),BS4 Only,June,Q1,2019-20,5972,5124,488
Gear Assembly 2 (BS4),BS4 Only,July,Q2,2019-20,6556,5585,385
Gear Assembly 2 (BS4),BS4 Only,August,Q2,2019-20,5165,4484,534
Gear Assembly 2 (BS4),BS4 Only,September,Q2,2019-20,6760,6345,361
Gear Assembly 2 (BS4),BS4 Only,October,Q3,2019-20,6037,5890,441
Gear Assembly 2 (BS4),BS4 Only,November,Q3,2019-20,6362,5672,446
Gear Assembly 2 (BS4),BS4 Only,December,Q3,2019-20,5786,5427,555
Gear Assembly 2 (BS4),BS4 Only,January,Q4,2019-20,6722,6608,551
Gear Assembly 2 (BS4),BS4 Only,February,Q4,2019-20,5584,5186,404
Gear Assembly 2 (BS4),BS4 Only,March,Q4,2019-20,6446,5768,492
Gear Assembly 2 (BS4),BS4 Only,April,Q1,2020-21,6596,6249,334
Gear Assembly 2 (BS4),BS4 Only,May,Q1,2020-21,6675,6388,437
Gear Assembly 2 (BS4),BS4 Only,June,Q1,2020-21,6241,5729,545
Gear Assembly 2 (BS4),BS4 Only,July,Q2,2020-21,5174,4718,456
Gear Assembly 2 (BS4),BS4 Only,August,Q2,2020-21,6021,5693,555
Gear Assembly 2 (BS4),BS4 Only,September,Q2,2020-21,5891,5366,565
Gear Assembly 2 (BS4),BS4 Only,October,Q3,2020-21,6785,6613,544
Gear Assembly 2 (BS4),BS4 Only,November,Q3,2020-21,5882,5008,389
Gear Assembly 2 (BS4),BS4 Only,December,Q3,2020-21,6009,5490,371
Gear Assembly 2 (BS4),BS4 Only,January,Q4,2020-21,5954,5560,360
Gear Assembly 2 (BS4),BS4 Only,February,Q4,2020-21,5803,5230,400
Gear Assembly 2 (BS4),BS4 Only,March,Q4,2020-21,6627,6331,494
Gear Assembly 2 (BS4),BS4 Only,April,Q1,2021-22,5825,5411,437
Gear Assembly 2 (BS4),BS4 Only,May,Q1,2021-22,5762,5503,344
Gear Assembly 2 (BS4),BS4 Only,June,Q1,2021-22,6470,5828,546
Gear Assembly 2 (BS4),BS4 Only,July,Q2,2021-22,6015,5842,385
Gear Assembly 2 (BS4),BS4 Only,August,Q2,2021-22,6005,5617,400
Gear Assembly 3 (BS4/6),Combination,April,Q1,2019-20,6564,6088,524
Gear Assembly 3 (BS4/6),Combination,May,Q1,2019-20,5147,4725,383
Gear Assembly 3 (BS4/6),Combination,June,Q1,2019-20,5722,5156,381
Gear Assembly 3 (BS4/6),Combination,July,Q2,2019-20,6229,5495,436
Gear Assembly 3 (BS4/6),Combination,August,Q2,2019-20,6087,5882,508
Gear Assembly 3 (BS4/6),Combination,September,Q2,2019-20,5410,4981,415
Gear Assembly 3 (BS4/6),Combination,October,Q3,2019-20,6341,6071,524
Gear Assembly 3 (BS4/6),Combination,November,Q3,2019-20,5490,5203,404
Gear Assembly 3 (BS4/6),Combination,December,Q3,2019-20,5570,5011,540
Gear Assembly 3 (BS4/6),Combination,January,Q4,2019-20,5735,5418,353
Gear Assembly 3 (BS4/6),Combination,February,Q4,2019-20,5433,5068,494
Gear Assembly 3 (BS4/6),Combination,March,Q4,2019-20,5376,5289,518
Gear Assembly 3 (BS4/6),Combination,April,Q1,2020-21,6151,5611,408
Gear Assembly 3 (BS4/6),Combination,May,Q1,2020-21,6401,5387,381
Gear Assembly 3 (BS4/6),Combination,June,Q1,2020-21,6724,5669,411
Gear Assembly 3 (BS4/6),Combination,July,Q2,2020-21,6713,6343,364
Gear Assembly 3 (BS4/6),Combination,August,Q2,2020-21,5458,4772,412
Gear Assembly 3 (BS4/6),Combination,September,Q2,2020-21,5229,4720,479
Gear Assembly 3 (BS4/6),Combination,October,Q3,2020-21,6707,6228,474
Gear Assembly 3 (BS4/6),Combination,November,Q3,2020-21,5263,5077,565
Gear Assembly 3 (BS4/6),Combination,December,Q3,2020-21,5181,5143,378
Gear Assembly 3 (BS4/6),Combination,January,Q4,2020-21,5279,4856,497
Gear Assembly 3 (BS4/6),Combination,February,Q4,2020-21,6726,6193,498
Gear Assembly 3 (BS4/6),Combination,March,Q4,2020-21,6282,5881,344
Gear Assembly 3 (BS4/6),Combination,April,Q1,2021-22,6306,5676,479
Gear Assembly 3 (BS4/6),Combination,May,Q1,2021-22,5121,4803,535
Gear Assembly 3 (BS4/6),Combination,June,Q1,2021-22,5314,5130,338
Gear Assembly 3 (BS4/6),Combination,July,Q2,2021-22,5574,5255,347
Gear Assembly 3 (BS4/6),Combination,August,Q2,2021-22,6207,5652,383
Gear Assembly 4 (BS4/6),Combination,April,Q1,2019-20,5830,5508,408
Gear Assembly 4 (BS4/6),Combination,May,Q1,2019-20,6126,6075,560
Gear Assembly 4 (BS4/6),Combination,June,Q1,2019-20,5827,5191,508
Gear Assembly 4 (BS4/6),Combination,July,Q2,2019-20,6177,5361,396
Gear Assembly 4 (BS4/6),Combination,August,Q2,2019-20,5263,4841,378
Gear Assembly 4 (BS4/6),Combination,September,Q2,2019-20,6703,6122,437
Gear Assembly 4 (BS4/6),Combination,October,Q3,2019-20,6611,6450,361
Gear Assembly 4 (BS4/6),Combination,November,Q3,2019-20,5600,5002,497
Gear Assembly 4 (BS4/6),Combination,December,Q3,2019-20,5840,5627,428
Gear Assembly 4 (BS4/6),Combination,January,Q4,2019-20,6602,6367,545
Gear Assembly 4 (BS4/6),Combination,February,Q4,2019-20,6776,6174,365
Gear Assembly 4 (BS4/6),Combination,March,Q4,2019-20,6132,5477,424
Gear Assembly 4 (BS4/6),Combination,April,Q1,2020-21,5791,5238,506
Gear Assembly 4 (BS4/6),Combination,May,Q1,2020-21,6007,5688,503
Gear Assembly 4 (BS4/6),Combination,June,Q1,2020-21,6883,6149,470
Gear Assembly 4 (BS4/6),Combination,July,Q2,2020-21,6021,5424,364
Gear Assembly 4 (BS4/6),Combination,August,Q2,2020-21,5720,5216,368
Gear Assembly 4 (BS4/6),Combination,September,Q2,2020-21,5786,5562,435
Gear Assembly 4 (BS4/6),Combination,October,Q3,2020-21,5800,5603,462
Gear Assembly 4 (BS4/6),Combination,November,Q3,2020-21,5369,4607,556
Gear Assembly 4 (BS4/6),Combination,December,Q3,2020-21,5278,4770,529
Gear Assembly 4 (BS4/6),Combination,January,Q4,2020-21,6330,5639,428
Gear Assembly 4 (BS4/6),Combination,February,Q4,2020-21,5554,4969,513
Gear Assembly 4 (BS4/6),Combination,March,Q4,2020-21,6656,5949,489
Gear Assembly 4 (BS4/6),Combination,April,Q1,2021-22,5627,5320,471
Gear Assembly 4 (BS4/6),Combination,May,Q1,2021-22,5339,5054,494
Gear Assembly 4 (BS4/6),Combination,June,Q1,2021-22,5373,4979,544
Gear Assembly 4 (BS4/6),Combination,July,Q2,2021-22,6672,5965,385
Gear Assembly 4 (BS4/6),Combination,August,Q2,2021-22,5329,4761,361
Gear Assembly 5 (BS6),BS6 Only,April,Q1,2019-20,5348,4960,535
Gear Assembly 5 (BS6),BS6 Only,May,Q1,2019-20,6642,6226,541
Gear Assembly 5 (BS6),BS6 Only,June,Q1,2019-20,6389,5807,518
Gear Assembly 5 (BS6),BS6 Only,July,Q2,2019-20,5414,4959,506
Gear Assembly 5 (BS6),BS6 Only,August,Q2,2019-20,5194,4821,334
Gear Assembly 5 (BS6),BS6 Only,September,Q2,2019-20,5497,5064,435
Gear Assembly 5 (BS6),BS6 Only,October,Q3,2019-20,5673,5577,453
Gear Assembly 5 (BS6),BS6 Only,November,Q3,2019-20,5357,5219,532
Gear Assembly 5 (BS6),BS6 Only,December,Q3,2019-20,5487,4755,513
Gear Assembly 5 (BS6),BS6 Only,January,Q4,2019-20,6275,5772,367
Gear Assembly 5 (BS6),BS6 Only,February,Q4,2019-20,5172,4694,448
Gear Assembly 5 (BS6),BS6 Only,March,Q4,2019-20,5967,5557,480
Gear Assembly 5 (BS6),BS6 Only,April,Q1,2020-21,5804,5649,469
Gear Assembly 5 (BS6),BS6 Only,May,Q1,2020-21,5734,5062,400
Gear Assembly 5 (BS6),BS6 Only,June,Q1,2020-21,6151,5373,385
Gear Assembly 5 (BS6),BS6 Only,July,Q2,2020-21,6596,6056,453
Gear Assembly 5 (BS6),BS6 Only,August,Q2,2020-21,5387,4939,435
Gear Assembly 5 (BS6),BS6 Only,September,Q2,2020-21,5523,5085,565
Gear Assembly 5 (BS6),BS6 Only,October,Q3,2020-21,6105,5511,388
Gear Assembly 5 (BS6),BS6 Only,November,Q3,2020-21,6284,5628,432
Gear Assembly 5 (BS6),BS6 Only,December,Q3,2020-21,6302,5916,484
Gear Assembly 5 (BS6),BS6 Only,January,Q4,2020-21,5899,5592,375
Gear Assembly 5 (BS6),BS6 Only,February,Q4,2020-21,5885,5736,416
Gear Assembly 5 (BS6),BS6 Only,March,Q4,2020-21,6076,5695,551
Gear Assembly 5 (BS6),BS6 Only,April,Q1,2021-22,5551,5187,393
Gear Assembly 5 (BS6),BS6 Only,May,Q1,2021-22,5276,4863,452
Gear Assembly 5 (BS6),BS6 Only,June,Q1,2021-22,5911,5597,396
Gear Assembly 5 (BS6),BS6 Only,July,Q2,2021-22,6069,5358,461
Gear Assembly 5 (BS6),BS6 Only,August,Q2,2021-22,5635,5539,347
Gear Assembly 6 (BS6),BS6 Only,April,Q1,2019-20,6364,6070,459
Gear Assembly 6 (BS6),BS6 Only,May,Q1,2019-20,5247,4741,381
Gear Assembly 6 (BS6),BS6 Only,June,Q1,2019-20,5762,5232,435
Gear Assembly 6 (BS6),BS6 Only,July,Q2,2019-20,5100,4597,392
Gear Assembly 6 (BS6),BS6 Only,August,Q2,2019-20,5428,4990,522
Gear Assembly 6 (BS6),BS6 Only,September,Q2,2019-20,5913,5343,457
Gear Assembly 6 (BS6),BS6 Only,October,Q3,2019-20,6051,5522,367
Gear Assembly 6 (BS6),BS6 Only,November,Q3,2019-20,5260,4478,364
Gear Assembly 6 (BS6),BS6 Only,December,Q3,2019-20,6626,6323,415
Gear Assembly 6 (BS6),BS6 Only,January,Q4,2019-20,5629,5126,452
Gear Assembly 6 (BS6),BS6 Only,February,Q4,2019-20,5683,5088,347
Gear Assembly 6 (BS6),BS6 Only,March,Q4,2019-20,6340,5996,545
Gear Assembly 6 (BS6),BS6 Only,April,Q1,2020-21,5332,5004,416
Gear Assembly 6 (BS6),BS6 Only,May,Q1,2020-21,5915,5388,367
Gear Assembly 6 (BS6),BS6 Only,June,Q1,2020-21,6703,5927,386
Gear Assembly 6 (BS6),BS6 Only,July,Q2,2020-21,6566,5915,364
Gear Assembly 6 (BS6),BS6 Only,August,Q2,2020-21,6080,5479,412
Gear Assembly 6 (BS6),BS6 Only,September,Q2,2020-21,5497,4723,462
Gear Assembly 6 (BS6),BS6 Only,October,Q3,2020-21,6525,6185,424
Gear Assembly 6 (BS6),BS6 Only,November,Q3,2020-21,5581,4788,475
Gear Assembly 6 (BS6),BS6 Only,December,Q3,2020-21,6832,6120,532
Gear Assembly 6 (BS6),BS6 Only,January,Q4,2020-21,6612,5961,502
Gear Assembly 6 (BS6),BS6 Only,February,Q4,2020-21,5180,4985,435
Gear Assembly 6 (BS6),BS6 Only,March,Q4,2020-21,6076,5442,357
Gear Assembly 6 (BS6),BS6 Only,April,Q1,2021-22,6796,6193,432
Gear Assembly 6 (BS6),BS6 Only,May,Q1,2021-22,5816,5603,516
Gear Assembly 6 (BS6),BS6 Only,June,Q1,2021-22,5213,4831,432
Gear Assembly 6 (BS6),BS6 Only,July,Q2,2021-22,5889,5356,550
Gear Assembly 6 (BS6),BS6 Only,August,Q2,2021-22,6091,5542,374